id_aluno,nome,data_nascimento,email
1,Matthew Fowler DVM,1985-07-04,jessica97@example.com
2,Wendy Brown,1992-01-27,hbarnes@example.com
3,Donald Santos,1995-11-12,gordon26@example.com
4,Christopher Williamson,2004-02-06,kennethrichardson@example.net
5,Cindy Boyd,2001-06-07,andrewjones@example.com
6,James Rodriguez,1994-11-01,ggomez@example.org
7,Mark Phillips,2005-08-30,courtney77@example.net
8,Matthew Potter,2000-10-19,barbarawalker@example.net
9,Kevin Harris,1992-10-11,annette61@example.net
10,Nichole Stevenson,1990-04-13,merrittkim@example.com
11,Melissa Sexton,2002-05-13,logananderson@example.org
12,Michele Graves,1992-11-18,johnrodriguez@example.net
13,Frank Harper,1997-12-25,danielselizabeth@example.org
14,Amy Brown,2003-09-05,brittany01@example.org
15,Tanya Allison,1989-06-30,ocameron@example.net
16,James Sanchez,2005-09-17,nancy05@example.net
17,April Becker,1999-12-30,sandovaldiane@example.net
18,Jennifer Sloan,1996-12-18,zimmermanjill@example.net
19,Marissa Shelton,1988-06-10,fgordon@example.net
20,Danielle Garcia,1997-08-12,mmadden@example.org
21,James Smith MD,1989-01-05,john42@example.com
22,Patrick Buchanan,1989-03-08,smithmichael@example.com
23,Kayla Francis,1996-03-08,staylor@example.net
24,David Kelly,1987-07-05,robertromero@example.net
25,Katelyn Thomas,1986-11-20,kara61@example.net
26,Douglas Lawson,1992-03-18,kevin72@example.com
27,Nicole Robinson,1997-06-07,ycurry@example.org
28,Dawn Jenkins,1992-05-25,wilsonchristopher@example.org
29,Abigail Reid,1996-01-09,rlewis@example.net
30,David Pineda,2000-12-13,beardangelica@example.org
31,Tiffany Hansen,1989-12-10,xmurphy@example.org
32,Jessica Ward,1995-03-20,cassandragalvan@example.org
33,Alex Harrison,2006-06-02,vlloyd@example.org
34,Ronald Kennedy,1987-05-18,scottkristen@example.net
35,Catherine Flowers,1988-04-13,timothygallegos@example.org
36,Susan Lopez,1987-12-13,cindywatson@example.com
37,William Tyler,2005-07-29,zwebb@example.net
38,Shawn Jones,1995-12-06,nicolebarrett@example.net
39,Robert Thomas,1990-08-06,mcguiredonna@example.com
40,Neil Murphy,2004-11-11,johnmatthews@example.net
41,Brittany Parks,1985-04-09,juan49@example.org
42,Zachary Murphy,1993-10-12,brownrichard@example.com
43,Jennifer Mercado,1990-01-09,melissa77@example.org
44,Jessica Hamilton,2001-08-13,sholmes@example.com
45,Erik Goodman,2002-05-22,austingreen@example.com
46,Danielle Bauer,2003-02-11,anna79@example.net
47,Johnny Frank,2005-03-20,andersonwalter@example.com
48,Jeremy Cobb,1990-10-15,zschultz@example.net
49,Dawn Chase,1993-09-19,erica99@example.net
50,Suzanne Turner,1988-11-25,nicole21@example.net
51,Jessica Hughes,1984-04-22,rosekayla@example.org
52,Louis Casey,1996-08-07,melinda63@example.net
53,Angela Boyd,1991-06-02,derrick46@example.org
54,Mason Henry,1988-03-14,markdelgado@example.org
55,Lisa Cox,1991-12-13,kenneth17@example.org
56,Shannon Davis,2000-03-10,davidsonkristen@example.org
57,Edward Chavez,2003-09-16,ikoch@example.org
58,Travis Simmons,1998-01-22,melissa25@example.com
59,Adrian Sloan,1998-10-28,paula93@example.com
60,Joshua Montgomery,1987-06-06,grayjennifer@example.com
61,Jennifer Day,2004-08-19,rachel45@example.net
62,Shaun Barker,1998-04-10,kathleenhatfield@example.com
63,Michelle Bailey,1984-09-01,wlopez@example.com
64,Jessica Ali,1999-12-31,louis14@example.com
65,William Curtis,2000-07-09,muellerkristina@example.org
66,Jessica Chavez,2000-03-29,hlee@example.com
